"LHS2","LHS1","RHS","count","support","confidence","lift","oddsRatio","chi.sq","chi.sq.p","OR","OR_lowerCI","fisher.p","fisher.padj_holm","Cat1","Cat2","OR_ExceedCI"
"cebq12_gRarely","cfq26=Disagree","loc1=Yes",16,0.10126582278481,0.5,2.13513513513514,5,15.8105874469511,7.00096601535716e-05,5,2.1661366487229,0.000189227257523103,5e-04,"lsPE","gR_FR","N"
"cebq14_gRarely","cfq26=Disagree","loc1=Yes",19,0.120253164556962,0.527777777777778,2.25375375375375,6.45751633986928,22.4099353384003,2.20231807077219e-06,6.45751633986928,2.83351360656826,9.02117978147143e-06,0,"lsPE","gR_FR","N"
"cebq19_gRarely","cfq26=Disagree","loc1=Yes",21,0.132911392405063,0.538461538461538,2.2993762993763,7.51041666666666,26.7338168407687,2.33499093215959e-07,7.51041666666667,3.30509949725368,1.15020392810837e-06,0,"lsPE","gR_FR","N"
"cebq26_lsSometimes","cfq26=Disagree","loc1=Yes",17,0.107594936708861,0.515151515151515,2.1998361998362,5.578125,18.3620552182536,1.82659578277755e-05,5.578125,2.42380875505996,5.99429842671028e-05,2e-04,"lsPE","lsS_SR","N"
"cebq27_gRarely","cfq26=Disagree","loc1=Yes",21,0.132911392405063,0.51219512195122,2.18721160184575,6.62812499999999,23.8631460760064,1.03433094444553e-06,6.628125,2.95395701019359,3.78312297266408e-06,0,"lsPE","gR_EOE","N"
"cebq27_gSometimes","cfq26=Disagree","loc1=Yes",13,0.0822784810126582,0.65,2.77567567567568,8.82142857142858,22.0775888356916,2.61849020696628e-06,8.82142857142857,3.18459570994485,2.27382224906596e-05,0,"lsPE","gS_EOE","N"
"cebq33_gSometimes","cfq28=Disagree","loc1=Yes",13,0.0822784810126582,0.722222222222222,3.08408408408408,12.5666666666667,26.9803999985818,2.05529025856507e-07,12.5666666666667,4.0954742352893,3.54781027887082e-06,0,"lsPE","gS_FF","Y"
"cebq34_gRarely","cAge_7.9yr","loc1=Yes",13,0.0822784810126582,0.5,2.13513513513514,4.5,12.2621885597092,0.000462229082238973,4.5,1.85362487555221,0.00105815121585337,0.0014,"cAge_7.9yr","gR_FR","N"
"cebq34_gRarely","cebq25_lsSometimes","loc1=Yes",13,0.0822784810126582,0.565217391304348,2.41363102232667,6.0125,16.4490053833927,4.99763955233728e-05,6.0125,2.36027311535617,0.000198549059425536,4e-04,"lsS_EUE","gR_FR","N"
"cebq34_gRarely","cebq13_lsSometimes","loc1=Yes",13,0.0822784810126582,0.52,2.22054054054054,4.92013888888889,13.5290165104519,0.000234903114438008,4.92013888888889,1.9993221066728,0.000632807905807952,0.0012,"lsS_EOE","gR_FR","N"
"cebq34_gRarely","cebq20_gSometimes","loc1=Yes",13,0.0822784810126582,0.52,2.22054054054054,4.92013888888889,13.5290165104519,0.000234903114438008,4.92013888888889,1.9993221066728,0.000632807905807952,0.0012,"gS_EF","gR_FR","N"
"cebq34_gRarely","cebq22_gSometimes","loc1=Yes",15,0.0949367088607595,0.5,2.13513513513514,4.81818181818182,14.5908253294617,0.000133563236935805,4.81818181818182,2.05866895224429,0.000342776027812484,8e-04,"gS_EF","gR_FR","N"
"cebq34_gRarely","cebq5_gSometimes","loc1=Yes",15,0.0949367088607595,0.555555555555556,2.37237237237237,6.19318181818182,18.7546879413639,1.48657472749519e-05,6.19318181818182,2.55186617067343,6.38421793835645e-05,2e-04,"gS_EF","gR_FR","N"
"cebq34_gRarely","cfq26=Disagree","loc1=Yes",15,0.0949367088607595,0.681818181818182,2.91154791154791,11.1038961038961,28.5579868107821,9.09339651629106e-08,11.1038961038961,4.0580648132164,1.42929638225041e-06,0,"lsPE","gR_FR","Y"
"cebq34_gRarely","cfq28=Disagree","loc1=Yes",14,0.0886075949367089,0.636363636363636,2.71744471744472,8.59782608695652,23.0527503018995,1.57616877323569e-06,8.59782608695652,3.23474437247747,1.3623421727525e-05,0,"lsPE","gR_FR","N"
"cfq20_gNeutralAD","cebq34_gRarely","loc1=Yes",13,0.0822784810126582,0.5,2.13513513513514,4.5,12.2621885597092,0.000462229082238973,4.5,1.85362487555221,0.00105815121585337,0.0014,"gR_FR","gN_Rest"," N"
"cfq26_lsNeutralAD","cebq34_gRarely","loc1=Yes",16,0.10126582278481,0.571428571428571,2.44015444015444,6.92063492063492,21.5827239099966,3.38890704262878e-06,6.92063492063492,2.8640355197325,1.84531103905158e-05,0,"gR_FR","lsN_PE"," N"
"cfq26=Disagree","cBMI_OWOB","loc1=Yes",14,0.0886075949367089,0.538461538461538,2.2993762993763,5.52898550724637,16.0672939598559,6.11307589641893e-05,5.52898550724638,2.26452690592339,0.000207464595762535,5e-04,"cBMI_OWOB","lsPE","N"
"cfq26=Disagree","cfq20=Agree","loc1=Yes",16,0.10126582278481,0.551724137931034,2.35601118359739,6.32967032967033,19.9713890061634,7.86096432879582e-06,6.32967032967033,2.65608246316219,3.49972917512957e-05,1e-04,"gRest","lsPE","N"
"cfq26=Disagree","mBMI_OBOW","loc1=Yes",13,0.0822784810126582,0.5,2.13513513513514,4.5,12.2621885597092,0.000462229082238973,4.5,1.85362487555221,0.00105815121585337,0.0014,"mBMI_OBOW","lsPE","N"
"cfq27_lsNeutralAD","cebq34_gRarely","loc1=Yes",14,0.0886075949367089,0.666666666666667,2.84684684684685,9.91304347826086,25.2600341186937,5.00982583148723e-07,9.91304347826087,3.60369587285193,5.86352378053206e-06,0,"gR_FR","lsN_PE","Y"
"cfq28_lsNeutralAD","cebq34_gRarely","loc1=Yes",16,0.10126582278481,0.551724137931034,2.35601118359739,6.32967032967033,19.9713890061634,7.86096432879582e-06,6.32967032967033,2.65608246316219,3.49972917512957e-05,1e-04,"gR_FR","lsN_PE"," N"
